Time,GPS time, GPS status, Latitude, Lontitude, Altitude, Easting, Northing, Velocity, Heading, Roll,Pitch,Yaw,Accel_Roll,Accel_Pitch,Accel_Yaw,Rate_Roll,Rate_Pitch,Rate_Yaw
195.0,31905.2, 4, 43.0743766983, 141.3359267477,14.087000, 527347.7972,4769129.0085,0.00,4.600, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
195.5,31905.7, 4, 43.0743767085, 141.3359267535,14.091000, 527347.7976,4769129.0096,0.00,262.950, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
196.0,31906.2, 4, 43.0743767080, 141.3359267540,14.089000, 527347.7977,4769129.0096,0.00,48.040, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
196.5,31906.7, 4, 43.0743767102, 141.3359267552,14.091000, 527347.7978,4769129.0098,0.00,283.290, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
197.0,31907.2, 4, 43.0743766967, 141.3359267498,14.091000, 527347.7973,4769129.0083,0.00,22.450, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
197.5,31907.7, 4, 43.0743767222, 141.3359267473,14.085000, 527347.7971,4769129.0111,0.00,341.320, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
198.0,31908.2, 4, 43.0743767155, 141.3359267467,14.083000, 527347.7971,4769129.0104,0.00,299.210, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
198.5,31908.7, 4, 43.0743766935, 141.3359267377,14.091000, 527347.7963,4769129.0079,0.00,278.260, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
199.0,31909.2, 4, 43.0743766868, 141.3359267453,14.088000, 527347.7970,4769129.0072,0.00,295.880, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
199.5,31909.7, 4, 43.0743766967, 141.3359267568,14.094000, 527347.7979,4769129.0083,0.00,253.770, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
200.0,31910.2, 4, 43.0743766925, 141.3359267678,14.096000, 527347.7988,4769129.0078,0.00,15.490, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
200.5,31910.7, 4, 43.0743766827, 141.3359267622,14.095000, 527347.7983,4769129.0067,0.00,43.330, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
201.0,31911.2, 4, 43.0743766878, 141.3359267507,14.085000, 527347.7974,4769129.0073,0.00,80.420, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
201.5,31911.7, 4, 43.0743766793, 141.3359267698,14.086000, 527347.7990,4769129.0064,0.00,39.880, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
202.0,31912.2, 4, 43.0743766483, 141.3359267898,14.087000, 527347.8006,4769129.0029,0.00,14.070, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
202.5,31912.7, 4, 43.0743766458, 141.3359267748,14.088000, 527347.7994,4769129.0027,0.00,351.850, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
203.0,31913.2, 4, 43.0743766688, 141.3359267863,14.087000, 527347.8003,4769129.0052,0.00,105.980, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
203.5,31913.7, 4, 43.0743766657, 141.3359267867,14.086000, 527347.8003,4769129.0049,0.00,50.240, 0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
